hi,スキャン用,JANコード,区分,商品名,規格,製造会社,納入業者,納入価格,単価,入数,定数,発注単位,発注点,使用方法及び説明,発注条件,交換パーツ,添付文書
1ID0067,,CEM002,ラミネートテープ,brother Tze 相互テープ ベリーピンク地金字,Tze-MQP54,,,,,,,個,,"P-touchにて使用するテープ
 機器管理のため",,,
1ID0068,,942001243620,人工呼吸器,F&Pﾆｳﾞｧｲﾛｼﾝｸﾞﾙﾕｰｽﾌﾙﾌｪｲｽﾏｽｸ(M),RT046M,Fisher&Paykel,フォーム,,,,1,箱,,Hamilton用NPPVトータルフルフェイスマスク,,,
1ID0069,,942001243618,人工呼吸器,F&Pﾆｳﾞｧｲﾛｼﾝｸﾞﾙﾕｰｽﾌﾙﾌｪｲｽﾏｽｸ(S),RT046S,Fisher＆Paykel,フォーム,,,,1,箱,,NPPV用字人工呼吸器マスクサイズS,,,
1ID0070,,942001243615,人工呼吸器,F&Pﾆｳﾞｧｲﾛｼﾝｸﾞﾙﾕｰｽﾌﾙﾌｪｲｽﾏｽｸ(XS),RT046XS,Fisher＆Paykel,フォーム,,,,1,箱,,NPPV用字人工呼吸器マスクサイズXS,,,
1ID0071,,7630002801126,人工呼吸器,酸素セル（Cシリーズ用）,VV060,日本光電,フォーム,,28900,,,個,,ＨＡＭＩＬＴＯＮ Ｃ１の交換部品,,TRUE,
1ID0072,,570748001966,人工呼吸器,酸素リザーババックのみ,102 03 435,,,,,,,,,,,,
1ID0073,,503026709752,人工呼吸器,インターサージカル呼吸器回路,2026161,日本メディカルネクスト株式会社,日本光電,,,,1,箱,,ハミルトンC1に使用する人工呼吸器回路,,,
1ID0074,,503026706962,人工呼吸器,カテーテルマウント スムーズボア 回転Ｄフリップ,5120000,日本メディカルネクスト株式会社,フォーム,,,,,本,,呼吸器病棟へ出荷時に装着,,,
1ID0075,,4991348061425,その他,CD-RW,SW80EU5V1,Verbatim Japan,,,,,,枚,,CARTOの画像取り込み用として,,,
1ID0076,,4989999194579,その他,ケーブルタイ 長さ300㎜ 100本入り,TRCV-300S,,,,,,,袋,,,,,
1ID0077,,4989999194432,その他,TRUSCO タイガン 適応幅2.5～5.0mm,TG-7,トラスコ中山,,,,,,丁,,タイバンド結束・切断時に使用,,,
1ID0078,,4988617316492,その他,EPSON PX-S885 インクパック イエロー,IP01YB,EPSON,,,,,,個,,EPSONプリンターPX-S885で使用,,,
1ID0079,,4988617316485,その他,EPSON PX-S885 インクパック マゼンタ,IP01MB,EPSON,,,,,,個,,EPSONプリンターPX-S885で使用,,,
1ID0080,,4988617316478,その他,EPSON PX-S885 インクパック シアン,IP01CB,EPSON,,,,,,個,,EPSONプリンターPX-S885で使用,,,
1ID0081,,4988617316461,その他,EPSON PX-S885 インクパック ブラック,IP01KB,EPSON,,,,,,個,,EPSONプリンターPX-S885で使用,,,
1ID0082,,4988617143753,その他,EPSONインク ライトマゼンタ,ICLM70L,セイコーエプソン株式会社,エプソン販売株式会社,,,,,,,,,,
1ID0083,,4988617143746,その他,EPSONインク ライトシアン,ICLC70L,セイコーエプソン株式会社,エプソン販売株式会社,,,,,,,,,,
1ID0084,,4988617143739,その他,EPSONインク イエロー,ICY70L,セイコーエプソン株式会社,エプソン販売株式会社,,,,,,,,,,
1ID0085,,4988617143722,その他,EPSONインク マゼンタ,ICM70L,セイコーエプソン株式会社,エプソン販売株式会社,,,,,,,,,,
1ID0086,,4988617143715,その他,EPSONインク シアン,ICC70L,セイコーエプソン株式会社,エプソン販売株式会社,,,,,,,,,,
1ID0087,,4988617143708,その他,EPSONインク ブラック,ICBK70L,セイコーエプソン株式会社,エプソン販売株式会社,,,,,,,,,,
1ID0088,,498789205805,DVT予防装置,ベノストリームⅡ 電源コード,05VN03,テルモ株式会社,八神製作所,,1540,,,本,,ベラストリームの電源コード,,,
1ID0089,,498789205349,DVT予防装置,ベノストリームⅡ 接続チューブ 1.8m,VM-CT6,テルモ株式会社,八神製作所,,4500,,,箱,,ベノストリームⅡ用の接続チューブ。1.8ｍ。,,,
1ID0090,,4987892048555,血圧計,エレマーノ2 送気球,XX-ES48,テルモ株式会社,八神製作所,,,,,,,,,,
1ID0091,,4987892048395,血圧計,テルモ エレマーノ2血圧計用腕帯 Mサイズ,XX-ES41M,テルモ株式会社,八神製作所,,,,1,個,,エレマーノ2用腕帯 Mサイズ,,,
1ID0092,010498774214069910233380153H,4987742140699,生体情報モニタ,ﾈﾙｺｱﾊﾟﾙｽｵｷｼﾒﾄﾘｹｰﾌﾞﾙ DOC10(3m),DOC-10,フクダ電子,フォーム,,,,,本,,パルスオキシメトリの本体からプローブまでのケーブル,,TRUE,
1ID0093,,4987696234062,その他,whip wash,,,,,,,,,,,,,
1ID0094,,498735089523,DVT予防装置,ベノストリームFT 接続チューブ,VM-CT5,テルモ株式会社,八神製作所,,,,,箱,,,,,
1ID0095,,498735085281,シリンジポンプ,331Sｽﾀｲﾀﾞｰｶﾊﾞｰ,05PQ11,テルモ株式会社,スズケン,,1230,,1,個,,TE-331Sのすたいだーカバー,,,
1ID0096,,4987350847898,輸液ポンプ,輸液ポンプACインレット,05LM22,テルモ株式会社,スズケン,,,,,個,,AC電源コードを差し込み部,,,
1ID0097,,4987350438591,血圧計,テルモ エレマーノ 血圧計用 交換送気球,XX-ES18,テルモ株式会社,八神製作所,,,,,個,,エレマーノ血圧計用の交換送気球,,,
1ID0098,,4987350071835,輸液ポンプ,輸液・シリンジポンプバッテリ,05LA211,テルモ株式会社,,,,,,個,,シリンジポンプ 輸液ポンプのバッテリー交換,,,
1ID0099,,498728620154,その他,消毒用エタノール液IP,872615,,,,,,,個,,機器メンテ用の殺菌消毒液,,,
1ID0100,,4977766789837,ラミネートテープ,brother Tze 相互テープ サテンゴールド地黒字,Tze-MQ851,brother,,,1760,,,個,,P-touchで使用,,,
1ID0101,,4977766789820,ラミネートテープ,brother Tze 相互テープ マットブラック地白字,Tze-MQ335,brother,,,1760,,,個,,P-touchで使用,,,
1ID0102,,4977766702720,ラミネートテープ,brother Tze 相互テープ 蛍光黄地黒字,Tze-C51,brother,,,1760,,,個,,P-touchで使用,,,
1ID0103,,4977766702713,ラミネートテープ,brother Tze 相互テープ 蛍光オレンジ地黒字,Tze-B51,brother,,,1760,,,個,,P-touchで使用,,,
1ID0104,,4977766702621,ラミネートテープ,brother Tze 相互テープ 緑黒字 18mm,Tze-741,brother,,,1760,,,個,,,,,
1ID0105,,4977564650681,その他,スティックのり,NS-702,プラス株式会社,,,,,1,個,,スティックのり,,,
1ID0106,,497636601401,,プラスチックグローブF Ｍサイズ,JG-PGXPFM,,,,,,,個,,必要時,,,
1ID0107,,4971660030446,その他,名刺入れ(SHOT DOCS),42SD,,,,,,,,,,,,
1ID0108,,4971660005192,その他,キングファイルGX(タテ型)片開き,975GX,キングジム,,,,,,冊,,"中途の抜き差しが多い書類に便利なパイプ式とじ具。
 差替え全面背見出し。",,,
1ID0109,,497103221801,その他,RPクロスガーゼ 4号,21801,オオサキメディカル株式会社,,,,,,つ,,,,,
1ID0110,,495828670581,その他,ハクゾウ ハンドケア物語,HK-1,,,,,,,個,,ハンドケア用保湿用,,,
1ID0111,,495828660119,その他,ハクゾウ 環境クロス Vロック 詰め替え用,3394064,ハクゾウメディカル株式会社,,,,,,個,,Vロック詰め替え用,,,
1ID0112,,495828660118,その他,ハクゾウ 環境クロス Vロック,3394063,ハクゾウメディカル株式会社,,,,,,個,,医療機器清拭に使用,,,
1ID0113,,4958286078939,その他,エレファウエット クロス80 詰め替え用,,ハクゾウメディカル株式会社,,,,,,個,,機器清拭にて使用,,,
1ID0114,,495317035595,その他,キセノンランプ CLV-260用,MD-631,OLYMPUS,三輪器械,,,,,個,,光源キセノンランプ。CLV-260用,,TRUE,
1ID0115,,4953170140372,その他手術室関連,気腹装置医療ガス配管用ホース DISSタイプ,MAJ-1085,OLYMPUS,三輪器械,,,,,本,,CO2気腹装置の医療ガス配管用ホースジョイント。DISSタイプ,,TRUE,
1ID0116,,493192190091,心カテ関連,ﾋﾞﾄﾛｰﾄﾞ 2本ﾘｰﾄﾞ線(2000mm) 4色,V-74017(G299P),日本光電,フォーム,,1432,,1,箱,,"アブレーション時に使用。2本リード線電極。
 ID:003888",,,
